OPTDate,Hospital,TerminalId,MedicineID,MedicineName,MedicineUnit,over1Mins,provideTimes,retireTimes,batchProvideTimes,supplyTimes,users
2018-07-07,1,PC1,"","","",0,0,2,5,3,1
2018-07-07,1,PC1,20170414000017,"°¢ÈA·ÔÌ¹Äá",1,0,0,2,5,3,1
2018-07-07,1,PC1,20170414000017,"°¢ÈA·ÔÌ¹Äá",222,0,0,2,5,3,1
2018-07-07,1,PC1,20180414000001,"ÒÒõµÍÐ·ÈÒò",Tab,0,0,2,5,3,1
2018-07-07,1,PC1,20180414000006,"º£ÂåÒò",Tab,0,0,2,5,3,1
2018-07-07,1,PC1,20180414000010,"ÒÒõµ°¢·¨¼×»ù·ÔÌ¹Äá",Tab,0,0,2,5,3,1
2018-07-07,1,PC1,20180414000016,"°¢·¨-ÆÕô”Í¡",Tab,0,0,2,5,3,1
2018-07-07,1,PC1,20180414000017,"°¢ÈA·ÔÌ¹Äá",1,1,7,2,5,3,1
2018-07-07,1,PC1,20180414000017,"°¢ÈA·ÔÌ¹Äá",Tab,1,7,2,5,3,1
2018-07-07,1,PC1,20180414000017,"°¢ÈA·ÔÌ¹Äá",V,1,7,2,5,3,1
2018-07-07,1,PC1,20180414000017,"°¢ÈA·ÔÌ¹Äá",s,1,7,2,5,3,1
